股票代號,股票名稱,2021上市上櫃
3169,亞信,2
3171,新洲,2
3176,基亞,2
3178,公準,2
3188,鑫龍騰,2
3189,景碩,1
3191,和進,2
3202,樺晟,2
3205,佰研,2
3206,志豐,2
3207,耀勝,2
3209,全科,1
3211,順達,2
3213,茂訊,2
3217,優群,2
3218,大學光,2
3219,倚強科,2
3221,台嘉碩,2
3224,三顧,2
3226,至寶電,2
3227,原相,2
3228,金麗科,2
3229,晟鈦,1
3230,錦明,2
3231,緯創,1
3232,昱捷,2
3234,光環,2
3236,千如,2
3252,海灣,2
3257,虹冠電,1
3259,鑫創,2
3260,威剛,2
3264,欣銓,2
3265,台星科,2
3266,昇陽,1
3268,海德威,2
3272,東碩,2
3276,宇環,2
3284,太普高,2
3285,微端,2
3287,廣寰科,2
3288,點晶,2
3289,宜特,2
3290,東浦,2
3293,鈊象,2
3294,英濟,2
3296,勝德,1
3297,杭特,2
3303,岱稜,2
3305,昇貿,1
3306,鼎天,2
3308,聯德,1
3310,佳穎,2
3311,閎暉,1
3312,弘憶股,1
3313,斐成,2
3317,尼克森,2
3321,同泰,1
3322,建舜電,2
3323,加百裕,2
3324,雙鴻,2
3325,旭品,2
3332,幸康,2
3338,泰碩,1
3339,泰谷,2
3346,麗清,1
3354,律勝,2
3356,奇偶,1
3357,臺慶科,2
3360,尚立,2
3362,先進光,2
3363,上詮,2
3372,典範,2
3373,熱映,2
3374,精材,2
3376,新日興,1
3379,彬台,2
3380,明泰,1
3383,新世紀,1
3388,崇越電,2
3390,旭軟,2
3402,漢科,2
3406,玉晶光,1
3413,京鼎,1
3416,融程電,1
3419,譁裕,1
3426,台興,2
3432,台端,1
3434,哲固,2
3437,榮創,1
3438,類比科,2
3441,聯一光,2
3443,創意,1
3444,利機,2
3450,聯鈞,1
3454,晶睿,1
3455,由田,2
3465,進泰電子,2
3466,致振,2
3479,安勤,2
3481,群創,1
3483,力致,2
3484,崧騰,2
3489,森寶,2
3490,單井,2
3491,昇達科,2
3492,長盛,2
3494,誠研,1
3498,陽程,2
3499,環天科,2
3501,維熹,1
3504,揚明光,1
3508,位速,2
3511,矽瑪,2
3512,皇龍,2
3515,華擎,1
3516,亞帝歐,2
3518,柏騰,1
3520,華盈,2
3521,鴻翊,2
3522,御頂,2
3523,迎輝,2
3526,凡甲,2
3527,聚積,2
3528,安馳,1
3529,力旺,2
3530,晶相光,1
3531,先益,2
3532,台勝科,1
3533,嘉澤,1
3535,晶彩科,1
3536,誠創,1
3537,堡達,2
3540,曜越,2
3541,西柏,2
3543,州巧,1
3545,敦泰,1
3546,宇峻,2
3548,兆利,2
3550,聯穎,1
3551,世禾,2
3552,同致,2
3555,重鵬,2
3556,禾瑞亞,2
3557,嘉威,1
3558,神準,2
3563,牧德,1
3564,其陽,2
3567,逸昌,2
3570,大塚,2
3576,聯合再生,1
3577,泓格,2
3580,友威科,2
3581,博磊,2
3583,辛耘,1
3587,閎康,2
3588,通嘉,1
3591,艾笛森,1
3593,力銘,1
3594,磐儀,2
3596,智易,1
3597,映興,2
3605,宏致,1
3607,谷崧,1
3609,三一東林,2
3611,鼎翰,2
3615,安可,2
3617,碩天,1
3622,洋華,1
3623,富晶通,2
3624,光頡,2
3625,西勝,2
3628,盈正,2
3629,地心引力,2
3630,新鉅科,2
3631,晟楠,2
3632,研勤,2
3642,駿熠電,2
3645,達邁,1
3646,艾恩特,2
3652,精聯,2
3653,健策,1
3661,世芯-KY,1
3663,鑫科,2
3664,安瑞-KY,2
3665,貿聯-KY,1
3666,光耀,2
3669,圓展,1
3672,康聯訊,2
3673,TPK-KY,1
3675,德微,2
3679,新至陞,1
3680,家登,2
3682,亞太電,1
3684,榮昌,2
3685,元創精密,2
3686,達能,1
3687,歐買尬,2
3689,湧德,2
3691,碩禾,2
3693,營邦,2
3694,海華,1
3701,大眾控,1
3702,大聯大,1
3703,欣陸,1
3704,合勤控,1
3705,永信,1
3706,神達,1
3707,漢磊,2
3708,上緯投控,1
3709,鑫聯大投控,2
3710,連展投控,2
3711,日月光投控,1
3712,永崴投控,1
3713,新晶投控,2
3714,富采,1
4102,永日,2
4104,佳醫,1
4105,東洋,2
4106,雃博,1
4107,邦特,2
4108,懷特,1
4109,加捷生醫,2
4111,濟生,2
4113,聯上,2
4114,健喬,2
4116,明基醫,2
4119,旭富,1
4120,友華,2
4121,優盛,2
4123,晟德,2
4126,太醫,2
4127,天良,2
4128,中天,2
4129,聯合,2
4130,健亞,2
4131,晶宇,2
4133,亞諾法,1
4137,麗豐-KY,1
4138,曜亞,2
4139,馬光-KY,2
4141,龍燈-KY,1
4142,國光生,1
4147,中裕,2
4148,全宇生技-KY,1
4153,鈺緯,2
4154,樂威科-KY,2
4155,訊映,1
4157,太景*-KY,2
4160,創源,2
4161,聿新科,2
4162,智擎,2
4163,鐿鈦,2
4164,承業醫,1
4167,松瑞藥,2
4168,醣聯,2
4171,瑞基,2
4173,久裕,2
4174,浩鼎,2
4175,杏一,2
4183,福永生技,2
4188,安克,2
4190,佐登-KY,1
4192,杏國,2
